Class,Filename,CrossEra-ID,Instrumentation,Key,Mode,Composer,CompLifetime,Country
orchestra_baroque,CrossEra-0015_Albinoni_concerto_in_d_minor_op.9_no.2_allegro.mp3,CrossEra-0015,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0016_Albinoni_concerto_in_d_minor_op.9_no.2_allegro_e_non_presto.mp3,CrossEra-0016,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0017_Albinoni_concerto_in_f_major_bwv_1057_allegro.mp3,CrossEra-0017,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0018_Albinoni_concerto_in_f_major_bwv_1057_allegro_assai.mp3,CrossEra-0018,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0019_Albinoni_concerto_in_f_major_bwv_1057_andante.mp3,CrossEra-0019,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0020_Albinoni_concerto_in_f_major_op.9_no.3_adagio_non_troppo.mp3,CrossEra-0020,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0021_Albinoni_concerto_in_f_major_op.9_no.3_allegro.mp3,CrossEra-0021,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0022_Albinoni_concerto_in_g_minor_op.9_no.8_adagio.mp3,CrossEra-0022,orchestra,Bb,major,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0023_Albinoni_concerto_in_g_minor_op.9_no.8_allegro.mp3,CrossEra-0023,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy
orchestra_baroque,CrossEra-0024_Bach_Brandenburg_concerto_in_a_minor_bwv_1044_adagio_ma_non_tanto_e_dolce.mp3,CrossEra-0024,orchestra,E,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0025_Bach_Brandenburg_concerto_in_a_minor_bwv_1044_alla_breve.mp3,CrossEra-0025,orchestra,A,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0026_Bach_Brandenburg_concerto_in_a_minor_bwv_1044_allegro.mp3,CrossEra-0026,orchestra,A,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0027_Bach_Brandenburg_concerto_in_f_major_bwv_1057_allegro.mp3,CrossEra-0027,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0028_Bach_Brandenburg_concerto_in_f_major_bwv_1057_allegro_assai.mp3,CrossEra-0028,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0029_Bach_Brandenburg_concerto_in_f_major_bwv_1057_andante.mp3,CrossEra-0029,orchestra,A,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0030_Bach_Brandenburg_concerto_no._1_in_f_major_bwv_1046_adagio.mp3,CrossEra-0030,orchestra,A,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0031_Bach_Brandenburg_concerto_no._1_in_f_major_bwv_1046_allegro.mp3,CrossEra-0031,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0032_Bach_Brandenburg_concerto_no._1_in_f_major_bwv_1046_menuetto__trio_i__polacca__trioii.mp3,CrossEra-0032,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0033_Bach_Brandenburg_concerto_no._2_in_f_major_bwv_1047_allegro.mp3,CrossEra-0033,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0034_Bach_Brandenburg_concerto_no._2_in_f_major_bwv_1047_allegro_assai.mp3,CrossEra-0034,orchestra,F,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0035_Bach_Brandenburg_concerto_no._2_in_f_major_bwv_1047_andante.mp3,CrossEra-0035,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0036_Bach_Brandenburg_concerto_no._3_in_g_major_bwv_1048_allegro.mp3,CrossEra-0036,orchestra,G,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0037_Bach_Brandenburg_concerto_no._3_in_g_major_bwv_1048_cadenza.mp3,CrossEra-0037,orchestra,B,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0038_Bach_Brandenburg_concerto_no._4_in_g_major_bwv_1049_allegro.mp3,CrossEra-0038,orchestra,G,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0039_Bach_Brandenburg_concerto_no._4_in_g_major_bwv_1049_andante.mp3,CrossEra-0039,orchestra,H,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0040_Bach_Brandenburg_concerto_no._4_in_g_major_bwv_1049_presto.mp3,CrossEra-0040,orchestra,G,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0041_Bach_Brandenburg_concerto_no._5_in_d_major_bwv_1050_affetuoso.mp3,CrossEra-0041,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0042_Bach_Brandenburg_concerto_no._5_in_d_major_bwv_1050_allegro.mp3,CrossEra-0042,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0043_Bach_Brandenburg_concerto_no._6_in_b_flat_major_bwv_1049_adagio_ma_non_tanto.mp3,CrossEra-0043,orchestra,Bb,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0044_Bach_Brandenburg_concerto_no._6_in_b_flat_major_bwv_1049_allegro.mp3,CrossEra-0044,orchestra,Bb,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0045_Bach_ouverture_no._1_in_c_major_bwv_1066__boure_iii.mp3,CrossEra-0045,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0046_Bach_ouverture_no._1_in_c_major_bwv_1066__courante.mp3,CrossEra-0046,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0047_Bach_ouverture_no._1_in_c_major_bwv_1066__forlane.mp3,CrossEra-0047,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0048_Bach_ouverture_no._1_in_c_major_bwv_1066__gavotte_iii.mp3,CrossEra-0048,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0049_Bach_ouverture_no._1_in_c_major_bwv_1066__menuet_iii.mp3,CrossEra-0049,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0050_Bach_ouverture_no._1_in_c_major_bwv_1066__ouverture.mp3,CrossEra-0050,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0051_Bach_ouverture_no._1_in_c_major_bwv_1066__passepied_iii.mp3,CrossEra-0051,orchestra,C,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0052_Bach_ouverture_no._2_in_b_minor_bwv_1067__badinerie.mp3,CrossEra-0052,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0053_Bach_ouverture_no._2_in_b_minor_bwv_1067__boure_iii.mp3,CrossEra-0053,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0054_Bach_ouverture_no._2_in_b_minor_bwv_1067__menuet.mp3,CrossEra-0054,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0055_Bach_ouverture_no._2_in_b_minor_bwv_1067__ouverture.mp3,CrossEra-0055,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0056_Bach_ouverture_no._2_in_b_minor_bwv_1067__polonaise_double.mp3,CrossEra-0056,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0057_Bach_ouverture_no._2_in_b_minor_bwv_1067__rondeau.mp3,CrossEra-0057,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0058_Bach_ouverture_no._2_in_b_minor_bwv_1067__sarabande.mp3,CrossEra-0058,orchestra,B,minor,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0059_Bach_ouverture_no._3_in_d_major_bwv_1068__air.mp3,CrossEra-0059,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0060_Bach_ouverture_no._3_in_d_major_bwv_1068__boure.mp3,CrossEra-0060,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0061_Bach_ouverture_no._3_in_d_major_bwv_1068__gavotte_iii.mp3,CrossEra-0061,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0062_Bach_ouverture_no._3_in_d_major_bwv_1068__gigue.mp3,CrossEra-0062,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0063_Bach_ouverture_no._3_in_d_major_bwv_1068__ouverture.mp3,CrossEra-0063,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0064_Bach_ouverture_no._4_in_d_major_bwv_1069__boure_iii.mp3,CrossEra-0064,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0065_Bach_ouverture_no._4_in_d_major_bwv_1069__gavotte.mp3,CrossEra-0065,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0066_Bach_ouverture_no._4_in_d_major_bwv_1069__menuet_iii.mp3,CrossEra-0066,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0067_Bach_ouverture_no._4_in_d_major_bwv_1069__ouverture.mp3,CrossEra-0067,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0068_Bach_ouverture_no._4_in_d_major_bwv_1069__rejouissance.mp3,CrossEra-0068,orchestra,D,major,Bach; Johann Sebastian,1685-1750,Germany
orchestra_baroque,CrossEra-0069_Corelli_adagio.mp3,CrossEra-0069,orchestra,Bb,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0070_Corelli_allegro.mp3,CrossEra-0070,orchestra,F,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0071_Corelli_allegro__allegro.mp3,CrossEra-0071,orchestra,D,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0072_Corelli_concerto_1_in_d_major__largo.mp3,CrossEra-0072,orchestra,D,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0073_Corelli_concerto_2_in_f_vivace.mp3,CrossEra-0073,orchestra,F,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0074_Corelli_concerto_3_in_c_minor_largo.mp3,CrossEra-0074,orchestra,C,minor,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0075_Corelli_concerto_4_in_d_adagio__allegro.mp3,CrossEra-0075,orchestra,D,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0076_Corelli_concerto_5_in_b_flat_adagio.mp3,CrossEra-0076,orchestra,Bb,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0077_Corelli_concerto_6_in_f_adagio.mp3,CrossEra-0077,orchestra,F,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0078_Corelli_grave.mp3,CrossEra-0078,orchestra,C,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0079_Corelli_grave__andante_largo.mp3,CrossEra-0079,orchestra,modulation,,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0080_Corelli_largo.mp3,CrossEra-0080,orchestra,A,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0081_Corelli_largo__allegro.mp3,CrossEra-0081,orchestra,Bb,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0082_Corelli_sinfonia.mp3,CrossEra-0082,orchestra,A,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0083_Corelli_vivace.mp3,CrossEra-0083,orchestra,F,major,Corelli; Arcangelo,1653-1713,Italy
orchestra_baroque,CrossEra-0084_Handel__allegro_finale_from_fireworks_music.mp3,CrossEra-0084,orchestra,D,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0085_Handel__allegro_from_concerto_grosso_no._12.mp3,CrossEra-0085,orchestra,B,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0086_Handel__concerto_grosso_op_6_no_8_in_c_minor__grave.mp3,CrossEra-0086,orchestra,F,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0087_Handel__presto_from_water_music.mp3,CrossEra-0087,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0088_Handel_air_in_g_minor.mp3,CrossEra-0088,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0089_Handel_concerto_1_1_adagio.mp3,CrossEra-0089,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0090_Handel_concerto_1_2_allegro.mp3,CrossEra-0090,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0091_Handel_concerto_1_3_siciliana.mp3,CrossEra-0091,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0092_Handel_concerto_1_4_vivace.mp3,CrossEra-0092,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0093_Handel_concerto_2_1_vivace.mp3,CrossEra-0093,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0094_Handel_concerto_2_2_fuga_allegro.mp3,CrossEra-0094,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0095_Handel_concerto_2_3_andante.mp3,CrossEra-0095,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0096_Handel_concerto_2_4_allegro.mp3,CrossEra-0096,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0097_Handel_concerto_3_1_grave.mp3,CrossEra-0097,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0098_Handel_concerto_3_2_allegro.mp3,CrossEra-0098,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0099_Handel_concerto_3_3_sarabande_largo.mp3,CrossEra-0099,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0100_Handel_concerto_3_4_allegro.mp3,CrossEra-0100,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0101_Handel_concerto_grosso_in_a_minor_op._6_no._4__largo_e_plano.mp3,CrossEra-0101,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0102_Handel_concerto_grosso_in_b_minor_op._6_no._12__largo.mp3,CrossEra-0102,orchestra,F#,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0103_Handel_concerto_grosso_in_d_major_op._6_no._5__largo.mp3,CrossEra-0103,orchestra,F#,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0104_Handel_concerto_grosso_op_6_no_8_siciliano.mp3,CrossEra-0104,orchestra,C,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0105_Handel_fireworks_music__la_paix.mp3,CrossEra-0105,orchestra,D,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0106_Handel_fireworks_music__rejouissance.mp3,CrossEra-0106,orchestra,D,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0107_Handel_hornpipe_concerto_grosso_op._6_no._7.mp3,CrossEra-0107,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0108_Handel_overture_to_otho__allegro.mp3,CrossEra-0108,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0109_Handel_overture_to_otho__gavotta.mp3,CrossEra-0109,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0110_Handel_overture_to_otho__maestoso.mp3,CrossEra-0110,orchestra,Bb,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0111_Handel_rondo_in_g_minor.mp3,CrossEra-0111,orchestra,G,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0112_Handel_suite_in_g_min__bourre_1_rpt.mp3,CrossEra-0112,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0113_Handel_suite_in_g_min__bourree_i.mp3,CrossEra-0113,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0114_Handel_suite_in_g_min__bourree_ii.mp3,CrossEra-0114,orchestra,C,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0115_Handel_suite_in_g_min__gavote.mp3,CrossEra-0115,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0116_Handel_suite_in_g_min__overture.mp3,CrossEra-0116,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0117_Handel_suite_in_g_min__passacaille.mp3,CrossEra-0117,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0118_Handel_suite_in_g_min__passepied.mp3,CrossEra-0118,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0119_Handel_suite_in_g_min__rigaudon.mp3,CrossEra-0119,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0120_Handel_suite_in_g_min__sarabande.mp3,CrossEra-0120,orchestra,G,minor,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0121_Handel_water_music_overture.mp3,CrossEra-0121,orchestra,F,major,Handel; George Frederic,1685-1759,Germany; England
orchestra_baroque,CrossEra-0122_Lully_ballet_1er_air_pour_les_braves_et_les_coquettes.mp3,CrossEra-0122,orchestra,Ab,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0123_Lully_ballet_2e_ouverture.mp3,CrossEra-0123,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0124_Lully_ballet_bourre_pour_les_coutisans.mp3,CrossEra-0124,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0125_Lully_ballet_bourre_pur_les_basques.mp3,CrossEra-0125,orchestra,Db,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0126_Lully_ballet_chaconne_des_maures.mp3,CrossEra-0126,orchestra,A,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0127_Lully_ballet_des_plaisirs__air_pour_lest_et_ses_suivants.mp3,CrossEra-0127,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0128_Lully_ballet_gavotte.mp3,CrossEra-0128,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0129_Lully_ballet_gavotte_en_rondeau.mp3,CrossEra-0129,orchestra,Gb,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0130_Lully_ballet_gigue_pour_bacchus.mp3,CrossEra-0130,orchestra,Gb,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0131_Lully_ballet_gigue_pour_scaramouche.mp3,CrossEra-0131,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0132_Lully_ballet_le_bourgeois_gentilhomme__chanconne_des_scaramouches.mp3,CrossEra-0132,orchestra,Gb,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0133_Lully_ballet_le_damigelle_delle_chochette_mary_enid_haines_soprano.mp3,CrossEra-0133,orchestra,Ab,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0134_Lully_ballet_ouverture.mp3,CrossEra-0134,orchestra,Gb,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0135_Lully_ballet_petite_chaconne.mp3,CrossEra-0135,orchestra,B,major,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0136_Lully_ballet_sarabande.mp3,CrossEra-0136,orchestra,Gb,minor,Lully; Jean-Baptiste,1632-1687,France
orchestra_baroque,CrossEra-0137_Purcell_opera_first_music__first_aire.mp3,CrossEra-0137,orchestra,E,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0138_Purcell_opera_first_music__second_aire.mp3,CrossEra-0138,orchestra,E,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0139_Purcell_opera_overture_dido.mp3,CrossEra-0139,orchestra,B,minor,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0140_Purcell_opera_overture_fairyqueen.mp3,CrossEra-0140,orchestra,Db,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0141_Purcell_opera_overture_indian.mp3,CrossEra-0141,orchestra,B,minor,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0142_Purcell_opera_prelude.mp3,CrossEra-0142,orchestra,B,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0143_Purcell_opera_second_music__first_aire.mp3,CrossEra-0143,orchestra,E,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0144_Purcell_opera_second_music__second_aire_hornpipe.mp3,CrossEra-0144,orchestra,E,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0145_Purcell_opera_symphony.mp3,CrossEra-0145,orchestra,E,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0146_Purcell_opera_third_act_tune_rondeau.mp3,CrossEra-0146,orchestra,Ab,major,Purcell; Henry,1659-1695,England
orchestra_baroque,CrossEra-0147_Rameau_abaris_ou_les_boreades__allegro.mp3,CrossEra-0147,orchestra,E,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0148_Rameau_abaris_ou_les_boreades__contredanse_et_rondeau.mp3,CrossEra-0148,orchestra,B,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0149_Rameau_abaris_ou_les_boreades__entree.mp3,CrossEra-0149,orchestra,Ab,minor,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0150_Rameau_abaris_ou_les_boreades__gavotte_por_les_fleures_et_les_zephirs.mp3,CrossEra-0150,orchestra,Db,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0151_Rameau_abaris_ou_les_boreades__menuet.mp3,CrossEra-0151,orchestra,E,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0152_Rameau_abaris_ou_les_boreades__overture.mp3,CrossEra-0152,orchestra,E,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0153_Rameau_abaris_ou_les_boreades__premier_et_deuxieme_rigaudon.mp3,CrossEra-0153,orchestra,Db,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0154_Rameau_abaris_ou_les_boreades__premiere_et_deuxieme_contredanse.mp3,CrossEra-0154,orchestra,Db,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0155_Rameau_abaris_ou_les_boreades__rondeau_vif.mp3,CrossEra-0155,orchestra,Ab,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0156_Rameau_la_naissance_dosiris__air_de_musette.mp3,CrossEra-0156,orchestra,Db,major,Rameau; Jean-Phillipe,1683-1764,France
orchestra_baroque,CrossEra-0157_Rameau_la_naissance_dosiris__air_gracieux.mp3,CrossEra-0157,orchestra,Db,minor,Rameau; Jean-Phillipe,1683-1764,France
